ResultIndex,Finished,RaceDecade,RaceYear,RaceMonth,RaceNumber,RaceStartHourGroup,CircuitCountry,CircuitLatitude,CircuitLongitude,ConstructorName,ConstructorNationality,DriverNationality,DriverHomeRace,DriversInRace,DriverAgeAtRace,RaceDrivers_AverageAge,GridPositionGroup,GridPosition_OriginalZero,GridPositionAdjusted
1,1,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,McLaren,British,British,0,22,23,27.5,Front,0,1
2,1,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,BMW Sauber,German,German,0,22,30,27.5,Mid,0,5
3,1,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Williams,British,German,0,22,22,27.5,Mid,0,7
4,1,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Renault,French,Spanish,0,22,26,27.5,Back,0,11
5,1,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,McLaren,British,Finnish,0,22,26,27.5,Front,0,3
6,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Williams,British,Japanese,0,22,23,27.5,Back,0,13
7,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Toro Rosso,Italian,French,0,22,29,27.5,Back,0,17
8,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Ferrari,Italian,Finnish,0,22,28,27.5,Back,0,15
9,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,BMW Sauber,German,Polish,0,22,23,27.5,Front,0,2
10,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Toyota,Japanese,German,0,22,25,27.5,Back,0,18
11,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Super Aguri,Japanese,Japanese,0,22,31,27.5,Back,0,19
12,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Renault,French,Brazilian,0,22,22,27.5,Back,0,20
13,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Ferrari,Italian,Brazilian,0,22,26,27.5,Mid,0,4
14,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Red Bull,Austrian,British,0,22,36,27.5,Mid,0,8
15,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Toyota,Japanese,Italian,0,22,33,27.5,Mid,0,6
16,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Force India,Indian,German,0,22,25,27.5,Back,0,22
17,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Red Bull,Austrian,Australian,1,22,31,27.5,Back,0,14
18,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Honda,Japanese,British,0,22,28,27.5,Back,0,12
19,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Super Aguri,Japanese,British,0,22,28,27.5,Back,0,21
20,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Toro Rosso,Italian,German,0,22,20,27.5,Mid,0,9
21,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Force India,Indian,Italian,0,22,35,27.5,Back,0,16
22,0,2005 - 2014,2008,3,1,04:00 - 07:59,Australia,-37.8497,144.968,Honda,Japanese,Brazilian,0,22,35,27.5,Mid,0,10
23,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Ferrari,Italian,Finnish,0,22,28,27.5,Front,0,2
24,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,BMW Sauber,German,Polish,0,22,23,27.5,Mid,0,4
25,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,McLaren,British,Finnish,0,22,26,27.5,Mid,0,8
26,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Toyota,Japanese,Italian,0,22,33,27.5,Front,0,3
27,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,McLaren,British,British,0,22,23,27.5,Mid,0,9
28,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,BMW Sauber,German,German,0,22,30,27.5,Mid,0,5
29,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Red Bull,Austrian,Australian,0,22,31,27.5,Mid,0,6
30,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Renault,French,Spanish,0,22,26,27.5,Mid,0,7
31,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Red Bull,Austrian,British,0,22,36,27.5,Back,0,12
32,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Honda,Japanese,British,0,22,28,27.5,Back,0,11
33,1,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Renault,French,Brazilian,0,22,22,27.5,Back,0,13
34,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Force India,Indian,Italian,0,22,35,27.5,Back,0,17
35,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Honda,Japanese,Brazilian,0,22,35,27.5,Back,0,14
36,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Williams,British,German,0,22,22,27.5,Back,0,16
37,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Super Aguri,Japanese,British,0,22,28,27.5,Back,0,21
38,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Super Aguri,Japanese,Japanese,0,22,31,27.5,Back,0,19
39,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Williams,British,Japanese,0,22,23,27.5,Back,0,22
40,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Toro Rosso,Italian,German,0,22,20,27.5,Back,0,15
41,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Ferrari,Italian,Brazilian,0,22,26,27.5,Front,0,1
42,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Force India,Indian,German,0,22,25,27.5,Back,0,20
43,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Toyota,Japanese,German,0,22,26,27.5,Mid,0,10
44,0,2005 - 2014,2008,3,2,04:00 - 07:59,Malaysia,2.76083,101.738,Toro Rosso,Italian,French,0,22,29,27.5,Back,0,18
45,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Ferrari,Italian,Brazilian,0,22,26,27.6,Front,0,2
46,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Ferrari,Italian,Finnish,0,22,28,27.6,Mid,0,4
47,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,BMW Sauber,German,Polish,0,22,23,27.6,Front,0,1
48,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,BMW Sauber,German,German,0,22,30,27.6,Mid,0,6
49,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,McLaren,British,Finnish,0,22,26,27.6,Mid,0,5
50,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Toyota,Japanese,Italian,0,22,33,27.6,Mid,0,7
51,1,2005 - 2014,2008,4,3,08:00 - 11:59,Bahrain,26.0325,50.5106,Red Bull,Austrian,Australian,0,22,31,27.6,Back,0,11
