ResultIndex,RaceIndex,PerfectFinish,RaceNumberGroup,DriversInRace,Race_AverageAge,DriverAgeGroup,GridPositionGroup,CircuitRegion,RaceHalfDecade,RaceMonthGroup,RaceTime
1,2008.1,1,1,Many,28,Younger,Front,Americas_Oceania,2005-2009,Spring,Early
2,2008.1,1,1,Many,28,Older,Front,Americas_Oceania,2005-2009,Spring,Early
3,2008.1,1,1,Many,28,Younger,Middle,Americas_Oceania,2005-2009,Spring,Early
4,2008.1,1,1,Many,28,Average,Middle,Americas_Oceania,2005-2009,Spring,Early
5,2008.1,1,1,Many,28,Average,Front,Americas_Oceania,2005-2009,Spring,Early
6,2008.1,0,1,Many,28,Younger,Back,Americas_Oceania,2005-2009,Spring,Early
7,2008.1,0,1,Many,28,Average,Back,Americas_Oceania,2005-2009,Spring,Early
8,2008.1,0,1,Many,28,Average,Back,Americas_Oceania,2005-2009,Spring,Early
9,2008.1,0,1,Many,28,Younger,Front,Americas_Oceania,2005-2009,Spring,Early
10,2008.1,0,1,Many,28,Younger,Back,Americas_Oceania,2005-2009,Spring,Early
11,2008.1,0,1,Many,28,Older,Back,Americas_Oceania,2005-2009,Spring,Early
12,2008.1,0,1,Many,28,Younger,Back,Americas_Oceania,2005-2009,Spring,Early
13,2008.1,0,1,Many,28,Average,Front,Americas_Oceania,2005-2009,Spring,Early
14,2008.1,0,1,Many,28,Older,Middle,Americas_Oceania,2005-2009,Spring,Early
15,2008.1,0,1,Many,28,Older,Front,Americas_Oceania,2005-2009,Spring,Early
16,2008.1,0,1,Many,28,Younger,Back,Americas_Oceania,2005-2009,Spring,Early
17,2008.1,0,1,Many,28,Older,Back,Americas_Oceania,2005-2009,Spring,Early
18,2008.1,0,1,Many,28,Average,Middle,Americas_Oceania,2005-2009,Spring,Early
19,2008.1,0,1,Many,28,Average,Back,Americas_Oceania,2005-2009,Spring,Early
20,2008.1,0,1,Many,28,Younger,Middle,Americas_Oceania,2005-2009,Spring,Early
21,2008.1,0,1,Many,28,Older,Back,Americas_Oceania,2005-2009,Spring,Early
22,2008.1,0,1,Many,28,Older,Middle,Americas_Oceania,2005-2009,Spring,Early
23,2008.2,1,1,Many,28,Average,Front,Asia,2005-2009,Spring,Early
24,2008.2,1,1,Many,28,Younger,Front,Asia,2005-2009,Spring,Early
25,2008.2,1,1,Many,28,Average,Middle,Asia,2005-2009,Spring,Early
26,2008.2,1,1,Many,28,Older,Front,Asia,2005-2009,Spring,Early
27,2008.2,1,1,Many,28,Younger,Middle,Asia,2005-2009,Spring,Early
